,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,random all,0,2491765756,0,[],Cygnus,15,"['CL1#24', 'CL1#91', 'CL1#28', 'CL1#12', 'CL1#99', 'CL1#43', 'CL1#93', 'CL1#14', 'CL1#20', 'CL1#61', 'CL1#90', 'CL1#67', 'CL1#17', 'CL1#54', 'CL1#94']",391849685,1984.500,9.092,Verne ATV,44,"['CL1#4', 'CL1#74', 'CL1#87', 'CL1#47', 'CL1#18', 'CL1#50', 'CL1#40', 'CL1#85', 'CL1#56', 'CL1#92', 'CL1#81', 'CL1#59', 'CL1#46', 'CL1#98', 'CL1#36', 'CL1#44', 'CL1#65', 'CL1#69', 'CL1#1', 'CL1#66', 'CL1#13', 'CL1#25', 'CL1#8', 'CL1#96', 'CL1#6', 'CL1#32', 'CL1#58', 'CL1#71', 'CL1#29', 'CL1#37', 'CL1#16', 'CL1#64', 'CL1#7', 'CL1#88', 'CL1#23', 'CL1#21', 'CL1#42', 'CL1#34', 'CL1#48', 'CL1#76', 'CL1#57', 'CL1#10', 'CL1#62', 'CL1#72']",1085643913,7495.600,21.258,Progress,15,"['CL1#22', 'CL1#83', 'CL1#2', 'CL1#77', 'CL1#95', 'CL1#39', 'CL1#55', 'CL1#19', 'CL1#97', 'CL1#51', 'CL1#60', 'CL1#26', 'CL1#73', 'CL1#84', 'CL1#79']",176798594,2328.200,7.311,TianZhou,24.0,"['CL1#30', 'CL1#41', 'CL1#70', 'CL1#3', 'CL1#89', 'CL1#80', 'CL1#5', 'CL1#53', 'CL1#45', 'CL1#63', 'CL1#35', 'CL1#49', 'CL1#31', 'CL1#38', 'CL1#11', 'CL1#27', 'CL1#15', 'CL1#78', 'CL1#33', 'CL1#68', 'CL1#86', 'CL1#82', 'CL1#52', 'CL1#75']",415222788.0,3688.200,14.932,Kounotori,2.0,"['CL1#9', 'CL1#100']",422250776.0,431.400,0.881
1,random all,1,2491779188,0,[],Cygnus,13,"['CL1#33', 'CL1#89', 'CL1#72', 'CL1#4', 'CL1#65', 'CL1#6', 'CL1#39', 'CL1#96', 'CL1#63', 'CL1#1', 'CL1#14', 'CL1#25', 'CL1#71']",391852149,1997.000,7.385,Progress,13,"['CL1#34', 'CL1#17', 'CL1#78', 'CL1#3', 'CL1#61', 'CL1#31', 'CL1#91', 'CL1#28', 'CL1#68', 'CL1#43', 'CL1#69', 'CL1#52', 'CL1#76']",176806964,2371.700,6.331,Kounotori,30,"['CL1#66', 'CL1#16', 'CL1#87', 'CL1#35', 'CL1#92', 'CL1#55', 'CL1#77', 'CL1#49', 'CL1#81', 'CL1#32', 'CL1#22', 'CL1#46', 'CL1#48', 'CL1#80', 'CL1#75', 'CL1#37', 'CL1#19', 'CL1#47', 'CL1#44', 'CL1#36', 'CL1#9', 'CL1#83', 'CL1#60', 'CL1#21', 'CL1#42', 'CL1#41', 'CL1#59', 'CL1#100', 'CL1#73', 'CL1#29']",423060045,4361.800,13.966,TianZhou,23.0,"['CL1#11', 'CL1#8', 'CL1#15', 'CL1#97', 'CL1#53', 'CL1#23', 'CL1#50', 'CL1#57', 'CL1#74', 'CL1#30', 'CL1#64', 'CL1#98', 'CL1#51', 'CL1#24', 'CL1#54', 'CL1#99', 'CL1#62', 'CL1#27', 'CL1#38', 'CL1#45', 'CL1#26', 'CL1#90', 'CL1#13']",415262857.0,3901.900,14.838,Verne ATV,21.0,"['CL1#2', 'CL1#70', 'CL1#40', 'CL1#7', 'CL1#67', 'CL1#12', 'CL1#94', 'CL1#10', 'CL1#20', 'CL1#82', 'CL1#58', 'CL1#18', 'CL1#88', 'CL1#93', 'CL1#84', 'CL1#95', 'CL1#79', 'CL1#85', 'CL1#56', 'CL1#86', 'CL1#5']",1084797173.0,3295.500,10.954
2,random all,2,2449778531,0,[],Progress,13,"['CL1#68', 'CL1#70', 'CL1#95', 'CL1#33', 'CL1#93', 'CL1#55', 'CL1#50', 'CL1#52', 'CL1#90', 'CL1#78', 'CL1#74', 'CL1#2', 'CL1#3']",176797324,2321.600,7.512,TianZhou,31,"['CL1#51', 'CL1#85', 'CL1#76', 'CL1#38', 'CL1#100', 'CL1#31', 'CL1#4', 'CL1#94', 'CL1#82', 'CL1#54', 'CL1#24', 'CL1#81', 'CL1#97', 'CL1#29', 'CL1#32', 'CL1#16', 'CL1#28', 'CL1#7', 'CL1#39', 'CL1#43', 'CL1#17', 'CL1#99', 'CL1#60', 'CL1#46', 'CL1#14', 'CL1#53', 'CL1#66', 'CL1#21', 'CL1#48', 'CL1#25', 'CL1#6']",415403313,4651.000,14.995,Dragon,17,"['CL1#18', 'CL1#69', 'CL1#62', 'CL1#5', 'CL1#64', 'CL1#35', 'CL1#10', 'CL1#47', 'CL1#37', 'CL1#13', 'CL1#27', 'CL1#98', 'CL1#87', 'CL1#92', 'CL1#63', 'CL1#58', 'CL1#80']",349948945,2427.700,9.992,Kounotori,25.0,"['CL1#96', 'CL1#23', 'CL1#36', 'CL1#30', 'CL1#8', 'CL1#84', 'CL1#88', 'CL1#77', 'CL1#79', 'CL1#75', 'CL1#45', 'CL1#89', 'CL1#15', 'CL1#86', 'CL1#34', 'CL1#72', 'CL1#91', 'CL1#40', 'CL1#44', 'CL1#71', 'CL1#83', 'CL1#20', 'CL1#11', 'CL1#67', 'CL1#26']",423035069.0,4240.500,13.950,Verne ATV,14.0,"['CL1#65', 'CL1#12', 'CL1#59', 'CL1#49', 'CL1#19', 'CL1#22', 'CL1#41', 'CL1#61', 'CL1#42', 'CL1#73', 'CL1#56', 'CL1#9', 'CL1#1', 'CL1#57']",1084593880.0,2287.100,7.025
3,random all,3,2069594281,0,[],Verne ATV,49,"['CL1#10', 'CL1#54', 'CL1#7', 'CL1#27', 'CL1#65', 'CL1#48', 'CL1#44', 'CL1#96', 'CL1#26', 'CL1#15', 'CL1#5', 'CL1#94', 'CL1#19', 'CL1#55', 'CL1#53', 'CL1#77', 'CL1#92', 'CL1#88', 'CL1#73', 'CL1#85', 'CL1#95', 'CL1#90', 'CL1#67', 'CL1#30', 'CL1#100', 'CL1#72', 'CL1#99', 'CL1#84', 'CL1#17', 'CL1#41', 'CL1#22', 'CL1#47', 'CL1#56', 'CL1#2', 'CL1#59', 'CL1#83', 'CL1#80', 'CL1#52', 'CL1#11', 'CL1#43', 'CL1#18', 'CL1#61', 'CL1#40', 'CL1#64', 'CL1#89', 'CL1#1', 'CL1#63', 'CL1#3', 'CL1#70']",1085639599,7474.200,27.300,Progress,13,"['CL1#23', 'CL1#62', 'CL1#33', 'CL1#39', 'CL1#49', 'CL1#97', 'CL1#20', 'CL1#46', 'CL1#60', 'CL1#93', 'CL1#36', 'CL1#66', 'CL1#14']",176752707,2089.700,7.590,Cygnus,14,"['CL1#42', 'CL1#16', 'CL1#38', 'CL1#57', 'CL1#28', 'CL1#25', 'CL1#81', 'CL1#98', 'CL1#78', 'CL1#74', 'CL1#50', 'CL1#87', 'CL1#71', 'CL1#35']",391847281,1972.300,7.405,TianZhou,24.0,"['CL1#51', 'CL1#4', 'CL1#21', 'CL1#9', 'CL1#82', 'CL1#45', 'CL1#6', 'CL1#37', 'CL1#31', 'CL1#29', 'CL1#86', 'CL1#24', 'CL1#68', 'CL1#13', 'CL1#79', 'CL1#8', 'CL1#75', 'CL1#76', 'CL1#91', 'CL1#32', 'CL1#12', 'CL1#58', 'CL1#69', 'CL1#34']",415354694.0,4391.700,11.179,,,,,,
4,random all,4,2027610383,0,[],Progress,14,"['CL1#27', 'CL1#87', 'CL1#99', 'CL1#91', 'CL1#58', 'CL1#24', 'CL1#67', 'CL1#98', 'CL1#7', 'CL1#4', 'CL1#36', 'CL1#29', 'CL1#25', 'CL1#6']",176740951,2028.600,7.597,Dragon,21,"['CL1#11', 'CL1#97', 'CL1#50', 'CL1#92', 'CL1#78', 'CL1#1', 'CL1#13', 'CL1#81', 'CL1#30', 'CL1#73', 'CL1#40', 'CL1#12', 'CL1#17', 'CL1#65', 'CL1#49', 'CL1#15', 'CL1#77', 'CL1#48', 'CL1#42', 'CL1#59', 'CL1#21']",350181954,3583.500,9.965,TianZhou,27,"['CL1#16', 'CL1#96', 'CL1#3', 'CL1#71', 'CL1#70', 'CL1#47', 'CL1#83', 'CL1#20', 'CL1#52', 'CL1#32', 'CL1#56', 'CL1#14', 'CL1#8', 'CL1#18', 'CL1#76', 'CL1#62', 'CL1#68', 'CL1#57', 'CL1#64', 'CL1#55', 'CL1#72', 'CL1#66', 'CL1#43', 'CL1#95', 'CL1#54', 'CL1#5', 'CL1#60']",415279094,3988.500,14.969,Verne ATV,38.0,"['CL1#33', 'CL1#28', 'CL1#74', 'CL1#80', 'CL1#41', 'CL1#63', 'CL1#93', 'CL1#46', 'CL1#51', 'CL1#61', 'CL1#79', 'CL1#9', 'CL1#100', 'CL1#35', 'CL1#90', 'CL1#22', 'CL1#45', 'CL1#88', 'CL1#44', 'CL1#2', 'CL1#39', 'CL1#34', 'CL1#85', 'CL1#26', 'CL1#10', 'CL1#19', 'CL1#53', 'CL1#37', 'CL1#94', 'CL1#31', 'CL1#75', 'CL1#69', 'CL1#89', 'CL1#86', 'CL1#38', 'CL1#84', 'CL1#23', 'CL1#82']",1085408384.0,6327.300,20.943,,,,,,
5,random all,5,2069585762,0,[],Progress,14,"['CL1#51', 'CL1#87', 'CL1#10', 'CL1#45', 'CL1#57', 'CL1#36', 'CL1#61', 'CL1#2', 'CL1#79', 'CL1#92', 'CL1#31', 'CL1#40', 'CL1#72', 'CL1#21']",176812024,2398.000,7.571,Cygnus,12,"['CL1#88', 'CL1#81', 'CL1#42', 'CL1#60', 'CL1#58', 'CL1#77', 'CL1#5', 'CL1#7', 'CL1#18', 'CL1#14', 'CL1#83', 'CL1#54']",391848266,1977.300,6.387,TianZhou,30,"['CL1#19', 'CL1#11', 'CL1#70', 'CL1#80', 'CL1#93', 'CL1#39', 'CL1#85', 'CL1#3', 'CL1#20', 'CL1#67', 'CL1#76', 'CL1#30', 'CL1#75', 'CL1#17', 'CL1#90', 'CL1#96', 'CL1#34', 'CL1#46', 'CL1#63', 'CL1#41', 'CL1#66', 'CL1#95', 'CL1#25', 'CL1#22', 'CL1#84', 'CL1#1', 'CL1#15', 'CL1#64', 'CL1#56', 'CL1#29']",415429976,4793.200,14.989,Verne ATV,44.0,"['CL1#28', 'CL1#65', 'CL1#24', 'CL1#86', 'CL1#35', 'CL1#13', 'CL1#55', 'CL1#98', 'CL1#12', 'CL1#47', 'CL1#62', 'CL1#4', 'CL1#74', 'CL1#97', 'CL1#73', 'CL1#52', 'CL1#8', 'CL1#43', 'CL1#49', 'CL1#16', 'CL1#27', 'CL1#37', 'CL1#32', 'CL1#82', 'CL1#78', 'CL1#44', 'CL1#38', 'CL1#50', 'CL1#100', 'CL1#53', 'CL1#9', 'CL1#6', 'CL1#91', 'CL1#94', 'CL1#48', 'CL1#99', 'CL1#89', 'CL1#59', 'CL1#68', 'CL1#23', 'CL1#26', 'CL1#71', 'CL1#69', 'CL1#33']",1085495496.0,6759.400,24.527,,,,,,
6,random all,6,1858986025,0,[],Dragon,23,"['CL1#45', 'CL1#40', 'CL1#94', 'CL1#53', 'CL1#51', 'CL1#82', 'CL1#59', 'CL1#13', 'CL1#30', 'CL1#86', 'CL1#44', 'CL1#49', 'CL1#23', 'CL1#56', 'CL1#70', 'CL1#48', 'CL1#91', 'CL1#25', 'CL1#80', 'CL1#26', 'CL1#29', 'CL1#6', 'CL1#21']",350201812,3682.000,9.973,Kounotori,25,"['CL1#55', 'CL1#16', 'CL1#92', 'CL1#35', 'CL1#90', 'CL1#8', 'CL1#72', 'CL1#5', 'CL1#84', 'CL1#18', 'CL1#20', 'CL1#88', 'CL1#34', 'CL1#19', 'CL1#62', 'CL1#68', 'CL1#57', 'CL1#85', 'CL1#74', 'CL1#42', 'CL1#41', 'CL1#81', 'CL1#46', 'CL1#39', 'CL1#78']",423152577,4811.200,13.952,Verne ATV,52,"['CL1#95', 'CL1#63', 'CL1#38', 'CL1#79', 'CL1#65', 'CL1#83', 'CL1#60', 'CL1#17', 'CL1#71', 'CL1#43', 'CL1#22', 'CL1#28', 'CL1#10', 'CL1#61', 'CL1#50', 'CL1#9', 'CL1#99', 'CL1#67', 'CL1#1', 'CL1#69', 'CL1#98', 'CL1#89', 'CL1#100', 'CL1#2', 'CL1#66', 'CL1#27', 'CL1#24', 'CL1#47', 'CL1#11', 'CL1#73', 'CL1#7', 'CL1#54', 'CL1#75', 'CL1#3', 'CL1#31', 'CL1#52', 'CL1#14', 'CL1#36', 'CL1#93', 'CL1#64', 'CL1#37', 'CL1#97', 'CL1#77', 'CL1#87', 'CL1#15', 'CL1#33', 'CL1#4', 'CL1#96', 'CL1#32', 'CL1#12', 'CL1#58', 'CL1#76']",1085631636,7434.700,29.549,,,,,,,,,,,,
7,random all,7,2315484802,0,[],Cygnus,16,"['CL1#43', 'CL1#60', 'CL1#96', 'CL1#31', 'CL1#29', 'CL1#98', 'CL1#85', 'CL1#40', 'CL1#80', 'CL1#44', 'CL1#1', 'CL1#37', 'CL1#24', 'CL1#2', 'CL1#73', 'CL1#70']",391847458,1973.200,8.521,Verne ATV,44,"['CL1#8', 'CL1#9', 'CL1#42', 'CL1#67', 'CL1#66', 'CL1#16', 'CL1#90', 'CL1#17', 'CL1#76', 'CL1#57', 'CL1#18', 'CL1#77', 'CL1#5', 'CL1#45', 'CL1#15', 'CL1#3', 'CL1#69', 'CL1#65', 'CL1#64', 'CL1#86', 'CL1#10', 'CL1#47', 'CL1#50', 'CL1#21', 'CL1#92', 'CL1#28', 'CL1#14', 'CL1#54', 'CL1#13', 'CL1#46', 'CL1#32', 'CL1#88', 'CL1#23', 'CL1#48', 'CL1#81', 'CL1#89', 'CL1#25', 'CL1#36', 'CL1#56', 'CL1#75', 'CL1#22', 'CL1#99', 'CL1#26', 'CL1#58']",1085636192,7457.300,24.045,Kounotori,29,"['CL1#93', 'CL1#30', 'CL1#33', 'CL1#6', 'CL1#11', 'CL1#91', 'CL1#38', 'CL1#83', 'CL1#72', 'CL1#34', 'CL1#41', 'CL1#52', 'CL1#39', 'CL1#12', 'CL1#62', 'CL1#7', 'CL1#59', 'CL1#79', 'CL1#78', 'CL1#4', 'CL1#19', 'CL1#35', 'CL1#68', 'CL1#97', 'CL1#27', 'CL1#94', 'CL1#95', 'CL1#51', 'CL1#100']",423165589,4874.400,13.955,TianZhou,11.0,"['CL1#61', 'CL1#49', 'CL1#71', 'CL1#84', 'CL1#74', 'CL1#87', 'CL1#20', 'CL1#55', 'CL1#63', 'CL1#82', 'CL1#53']",414835563.0,1623.000,6.953,,,,,,
8,random all,8,2027608514,0,[],Dragon,21,"['CL1#52', 'CL1#9', 'CL1#60', 'CL1#70', 'CL1#81', 'CL1#3', 'CL1#23', 'CL1#59', 'CL1#13', 'CL1#38', 'CL1#11', 'CL1#44', 'CL1#98', 'CL1#94', 'CL1#31', 'CL1#93', 'CL1#71', 'CL1#54', 'CL1#18', 'CL1#21', 'CL1#6']",349976161,2562.700,9.997,Verne ATV,47,"['CL1#84', 'CL1#63', 'CL1#14', 'CL1#51', 'CL1#80', 'CL1#35', 'CL1#79', 'CL1#47', 'CL1#19', 'CL1#20', 'CL1#7', 'CL1#64', 'CL1#99', 'CL1#56', 'CL1#39', 'CL1#26', 'CL1#40', 'CL1#74', 'CL1#36', 'CL1#67', 'CL1#72', 'CL1#86', 'CL1#29', 'CL1#61', 'CL1#33', 'CL1#92', 'CL1#24', 'CL1#87', 'CL1#28', 'CL1#27', 'CL1#95', 'CL1#37', 'CL1#75', 'CL1#83', 'CL1#15', 'CL1#32', 'CL1#100', 'CL1#49', 'CL1#17', 'CL1#78', 'CL1#68', 'CL1#8', 'CL1#4', 'CL1#10', 'CL1#46', 'CL1#12', 'CL1#1']",1085634358,7448.200,24.161,TianZhou,25,"['CL1#65', 'CL1#89', 'CL1#97', 'CL1#69', 'CL1#62', 'CL1#41', 'CL1#85', 'CL1#82', 'CL1#66', 'CL1#53', 'CL1#42', 'CL1#48', 'CL1#76', 'CL1#90', 'CL1#57', 'CL1#30', 'CL1#73', 'CL1#45', 'CL1#91', 'CL1#88', 'CL1#96', 'CL1#25', 'CL1#43', 'CL1#50', 'CL1#22']",415385894,4558.100,14.955,Progress,7.0,"['CL1#34', 'CL1#55', 'CL1#77', 'CL1#16', 'CL1#2', 'CL1#5', 'CL1#58']",176612101.0,1358.900,4.361,,,,,,
9,random all,9,1924003745,0,[],Kounotori,32,"['CL1#10', 'CL1#75', 'CL1#90', 'CL1#44', 'CL1#21', 'CL1#2', 'CL1#7', 'CL1#20', 'CL1#81', 'CL1#83', 'CL1#60', 'CL1#61', 'CL1#34', 'CL1#77', 'CL1#31', 'CL1#30', 'CL1#14', 'CL1#95', 'CL1#27', 'CL1#18', 'CL1#32', 'CL1#92', 'CL1#88', 'CL1#74', 'CL1#56', 'CL1#25', 'CL1#45', 'CL1#69', 'CL1#94', 'CL1#6', 'CL1#54', 'CL1#70']",423226701,5171.200,13.854,TianZhou,26,"['CL1#49', 'CL1#42', 'CL1#80', 'CL1#26', 'CL1#63', 'CL1#62', 'CL1#13', 'CL1#15', 'CL1#58', 'CL1#55', 'CL1#12', 'CL1#53', 'CL1#96', 'CL1#76', 'CL1#5', 'CL1#98', 'CL1#97', 'CL1#35', 'CL1#28', 'CL1#48', 'CL1#11', 'CL1#17', 'CL1#22', 'CL1#72', 'CL1#64', 'CL1#29']",415270057,3940.300,14.926,Verne ATV,42,"['CL1#33', 'CL1#82', 'CL1#39', 'CL1#37', 'CL1#86', 'CL1#79', 'CL1#3', 'CL1#41', 'CL1#73', 'CL1#8', 'CL1#85', 'CL1#93', 'CL1#89', 'CL1#38', 'CL1#9', 'CL1#71', 'CL1#67', 'CL1#16', 'CL1#47', 'CL1#100', 'CL1#91', 'CL1#1', 'CL1#36', 'CL1#65', 'CL1#24', 'CL1#43', 'CL1#68', 'CL1#66', 'CL1#99', 'CL1#52', 'CL1#59', 'CL1#78', 'CL1#51', 'CL1#19', 'CL1#4', 'CL1#84', 'CL1#23', 'CL1#40', 'CL1#57', 'CL1#87', 'CL1#50', 'CL1#46']",1085506987,6816.400,24.694,,,,,,,,,,,,
